Scientific Name,Common Name,Species ID,Link
Ceratonia siliqua L.,Carob tree,3664,https://www.nparks.gov.sg/florafaunaweb/flora/3/6/3664
Ceratopteris thalictroides (L.) Brongn.,Water Sprite,5739,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5739
Ceratostigma willmottianum,Chinese Plumbago,4901,https://www.nparks.gov.sg/florafaunaweb/flora/4/9/4901
Ceratostylis retisquama Rchb.f.,-,6421,https://www.nparks.gov.sg/florafaunaweb/flora/6/4/6421
Ceratozamia hildae G.P.Landry & M.C.Wilson,-,5105,https://www.nparks.gov.sg/florafaunaweb/flora/5/1/5105
Ceratozamia robusta 'Santiago Tuxtla',-,5106,https://www.nparks.gov.sg/florafaunaweb/flora/5/1/5106
Cerbera cultivar (curly red leaves),-,5086,https://www.nparks.gov.sg/florafaunaweb/flora/5/0/5086
Cerbera cultivar (red-leaves),-,4907,https://www.nparks.gov.sg/florafaunaweb/flora/4/9/4907
Cerbera floribunda K.Schum.,Cassowary Plum,6819,https://www.nparks.gov.sg/florafaunaweb/flora/6/8/6819
Cerbera manghas L.,Sea Mango,2799,https://www.nparks.gov.sg/florafaunaweb/flora/2/7/2799
Cerbera odollam,Pong Pong,2800,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2800
Cerberiopsis candelabra Vieill. ex Pancher & Sebert,-,8529,https://www.nparks.gov.sg/florafaunaweb/flora/8/5/8529
Cercestis mirabilis,-,1799,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1799
Cereus hildmannianus,Apple Cactus,1800,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1800
Cereus sp. (monstrous form),-,6836,https://www.nparks.gov.sg/florafaunaweb/flora/6/8/6836
Ceriops tagal (Perr) C.B.Rob.,Tengar,3801,https://www.nparks.gov.sg/florafaunaweb/flora/3/8/3801
Ceriops zippeliana Blume,Tengar merah,6541,https://www.nparks.gov.sg/florafaunaweb/flora/6/5/6541
Ceropegia linearis subsp. woodii,Rosary Vine,4043,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4043
Cestrum × cultum 'Cretan Purple',-,3803,https://www.nparks.gov.sg/florafaunaweb/flora/3/8/3803
Cestrum aurantiacum Lindl.,Orange Cestrum,3666,https://www.nparks.gov.sg/florafaunaweb/flora/3/6/3666
Cestrum diurnum Linn.,Day Jessamine,1801,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1801
Cestrum elegans var. smithii,-,3802,https://www.nparks.gov.sg/florafaunaweb/flora/3/8/3802
Cestrum nocturnum L.,Lady of the Night,1802,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1802
Chaetocarpus castanicarpus (Roxb.) Thwaites,-,3804,https://www.nparks.gov.sg/florafaunaweb/flora/3/8/3804
Chamaedorea cataractarum,Cascade Palm,2611,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2611
Chamaedorea metallica O.F.Cook ex H.E.Moore,Metallic Palm,2612,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2612
Chamaedorea seifrizii,Bamboo Palm,3409,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3409
Chambeyronia houailouensis,-,8641,https://www.nparks.gov.sg/florafaunaweb/flora/8/6/8641
Chambeyronia macrocarpa (Brongn.) Vieill. ex Becc.,New Caledonia Palm,2613,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2613
Champereia manillana (Blume) Merr.,False Olive,2801,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2801
Chassalia curviflora (Wall.) Thwaites,-,5639,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5639
Cheilocostus globosus (Blume) C.D.Specht,Asian Spiral Ginger,1868,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1868
Cheilocostus lacerus 'Red Stem',-,1870,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1870
Cheilocostus speciosus (J. Koenig) C. Specht,Crepe Ginger,1869,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1869
Cheilocostus speciosus 'Silver Blush',-,5587,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5587
Cheilocostus speciosus 'Variegatus',Variegated Spiral Ginger,1871,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1871
Chelyocarpus chuco (Mart.) H.E.Moore,-,3686,https://www.nparks.gov.sg/florafaunaweb/flora/3/6/3686
Chelyocarpus ulei Dammer,-,4023,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4023
Chenopodium giganteum,Magentaspreen,7183,https://www.nparks.gov.sg/florafaunaweb/flora/7/1/7183
Chisocheton patens Blume,Kedondong Kerut,6593,https://www.nparks.gov.sg/florafaunaweb/flora/6/5/6593
Chloranthus officinalis Blume,Lowland Chloranthus,5439,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5439
Chloris barbata,Swollen Windmill Grass,5070,https://www.nparks.gov.sg/florafaunaweb/flora/5/0/5070
Chlorophytum amaniense 'Fire Flash',Sierra Leone Lily,1803,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1803
Chlorophytum bichetii Backer,Bichetii Grass,5186,https://www.nparks.gov.sg/florafaunaweb/flora/5/1/5186
Chlorophytum capense,Spider Plant,1805,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1805
Chlorophytum capense (variegated),Spider Plant,1806,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1806
Chlorophytum comosum,Spider Plant,1807,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1807
Chlorophytum comosum (Thunb.) Jaques 'Variegatum',Variegated Spider Plant,1808,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1808
Chlorophytum comosum 'Vittatum',-,1809,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1809
Chonemorpha fragrans (Moon) Alston,Frangipani Vine,3813,https://www.nparks.gov.sg/florafaunaweb/flora/3/8/3813
Chonemorpha splendens Chun & Tsiang,海南鹿角藤,8833,https://www.nparks.gov.sg/florafaunaweb/flora/8/8/8833
Christia vespertilionis,Red Butterfly Wing,1811,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1811
Christia vespertilionis (striped leaf form),-,1810,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1810
Chrysalidocarpus albofarinosus (Hodel & Marcus) Eiserhardt & W.J.Baker,-,8760,https://www.nparks.gov.sg/florafaunaweb/flora/8/7/8760
Chrysalidocarpus decaryi (Jum.) Eiserhardt & W.J.Baker,Triangle Palm,2620,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2620
Chrysalidocarpus leptocheilos (Hodel) Eiserhardt & W.J.Baker,Redneck Palm,2621,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2621
Chrysalidocarpus lutescens H.Wendl.,Yellow Cane Palm,2622,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2622
Chrysalidocarpus madagascariensis (D.T.Fish) Becc.,Malagasy Palm,2623,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2623
Chrysalidocarpus mijoroanus (Eiserhardt & W.J.Baker) Eiserhardt & W.J.Baker,-,8846,https://www.nparks.gov.sg/florafaunaweb/flora/8/8/8846
Chrysalidocarpus pilulifer Becc.,-,8761,https://www.nparks.gov.sg/florafaunaweb/flora/8/7/8761
"Chrysalidocarpus rufescens J.Dransf., Eiserhardt & Marcus",-,8873,https://www.nparks.gov.sg/florafaunaweb/flora/8/8/8873
Chrysanthemum × morifolium (Ramat.) Hemsl.,Chrysanthemum,8018,https://www.nparks.gov.sg/florafaunaweb/flora/8/0/8018
Chrysophyllum cainito (Variegated),Variegated Star Apple,6300,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6300
Chrysophyllum cainito L.,Star Apple,2803,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2803
Chrysopogon aciculatus (Retz.) Trin.,Love Grass,1812,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1812
Chrysopogon zizanioides (L.) Roberty,Vetivergrass,3668,https://www.nparks.gov.sg/florafaunaweb/flora/3/6/3668
Chrysopogon zizanioides (variegated),Variegated Vetiver Grass,4983,https://www.nparks.gov.sg/florafaunaweb/flora/4/9/4983
Chrysothemis friedrichsthaliana (Hanst.) H.E. Moore.,-,7405,https://www.nparks.gov.sg/florafaunaweb/flora/7/4/7405
Chrysothemis pulchella (Donn ex Sims) Decne.,Copper Leaf,1813,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1813
Chukrasia tabularis,Chittagong Wood,2804,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2804
Cibotium barometz (L.) J.Sm.,Golden Chicken Fern,3816,https://www.nparks.gov.sg/florafaunaweb/flora/3/8/3816
Cicca acida (L.) Merr.,Otaheite Gooseberry,3669,https://www.nparks.gov.sg/florafaunaweb/flora/3/6/3669
Cichorium endivia L.,Endive,6775,https://www.nparks.gov.sg/florafaunaweb/flora/6/7/6775
Cinnamomum aromaticum,-,5629,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5629
Cinnamomum burmanni (Nees & Th. Nees) Nees ex Blume,阴香,3818,https://www.nparks.gov.sg/florafaunaweb/flora/3/8/3818
Cinnamomum camphora,Camphor Tree,2805,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2805
Cinnamomum iners Reinw. ex Blume,Wild Cinnamon,2806,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2806
Cinnamomum javanicum Blume,爪哇肉桂,3817,https://www.nparks.gov.sg/florafaunaweb/flora/3/8/3817
Cinnamomum parthenoxylon (Jack) Meisn.,Safrol Laurel,8809,https://www.nparks.gov.sg/florafaunaweb/flora/8/8/8809
Cinnamomum verum,Cinnamon,2807,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2807
Cissus discolor Blume,Rex Begonia Vine,6483,https://www.nparks.gov.sg/florafaunaweb/flora/6/4/6483
Cissus hastata,戟叶白粉藤,1366,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1366
Cissus nodosa Blume,Grape Ivy,1367,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1367
Cissus quadrangularis L.,Four-angled vine,5671,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5671
Cissus repens Lam.,Malayan Wild Vine,1368,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1368
Cissus rhombifolia,Grape Ivy,4938,https://www.nparks.gov.sg/florafaunaweb/flora/4/9/4938
Cissus verticillata (L.) Nicolson & C.E.Jarvis,Princess Vine,6023,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6023
Citharexylum spinosum L.,Fiddlewood,2808,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2808
Citrullus lanatus (Thunb.) Matsum. & Nakai,Watermelon,6103,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6103
Citrullus lanatus 'Faerie F1',Watermelon,7266,https://www.nparks.gov.sg/florafaunaweb/flora/7/2/7266
Citrus × aurantiifolia (Christm.) Swingle,Lime,2810,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2810
Citrus × aurantiifolia (variegated),-,4887,https://www.nparks.gov.sg/florafaunaweb/flora/4/8/4887
Citrus × limon (L.) Osbeck,Lemon,3671,https://www.nparks.gov.sg/florafaunaweb/flora/3/6/3671
Citrus × microcarpa,Calamondin,3351,https://www.nparks.gov.sg/florafaunaweb/flora/3/3/3351
Citrus aurantium 'Hutou Gan',Giant Golden Citrus,6092,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6092
Citrus australasica F.Muell.,Finger Lime,8155,https://www.nparks.gov.sg/florafaunaweb/flora/8/1/8155
Citrus hystrix DC.,Limau Purut,3670,https://www.nparks.gov.sg/florafaunaweb/flora/3/6/3670
Citrus japonica cv.,Kumquat,6087,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6087
Citrus japonica 'Fukushu',Dragon Heart Citrus Lime,7427,https://www.nparks.gov.sg/florafaunaweb/flora/7/4/7427
Citrus japonica 'Nagami',Nagami Kumquat,6566,https://www.nparks.gov.sg/florafaunaweb/flora/6/5/6566
Citrus limon 'Ponderosa',Giant Lemon,1814,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1814
Citrus limon 'Variegata',Lemon,3821,https://www.nparks.gov.sg/florafaunaweb/flora/3/8/3821
Citrus maxima (Burm.) Merr.,Pomelo,2809,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2809
Citrus medica L.,Fingered Citron,5217,https://www.nparks.gov.sg/florafaunaweb/flora/5/2/5217
Claderia viridiflora Hook. f.,-,5698,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5698
Claoxylon indicum (Reinw. ex Blume) Hassk.,Laping Budak,2811,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2811
Clappertonia ficifolia (Willd.) Decne.,Bolo-bolo,1815,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1815
Clausena excavata Burm.f.,Pink Lime-Berry,3675,https://www.nparks.gov.sg/florafaunaweb/flora/3/6/3675
Clausena lansium (Lour.) Skeels,Fool's Curry Leaf,6835,https://www.nparks.gov.sg/florafaunaweb/flora/6/8/6835
Cleisostoma racemiferum (Lindley) Garay,大叶隔距兰,5868,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5868
Cleistanthus macrophyllus Hook.f.,-,8308,https://www.nparks.gov.sg/florafaunaweb/flora/8/3/8308
Cleistanthus maingayi Hook.f.,-,7000,https://www.nparks.gov.sg/florafaunaweb/flora/7/0/7000
Cleistanthus malaccensis Hook. f.,-,3387,https://www.nparks.gov.sg/florafaunaweb/flora/3/3/3387
Cleistanthus polyphyllus F.N.Williams,-,5427,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5427
Cleistanthus sumatranus (Miq.) Müll. Arg.,闭花木,2812,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2812
Cleistocactus winteri D.R.Hunt (Crested Form),Golden Rat Tail,5907,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5907
Clematis aristata,Traveller's Joy Goatsbeard,1369,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1369
Clerodendrum buchananii,Mata Ajam,1817,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1817
Clerodendrum bungei,Glory Flower,1818,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1818
Clerodendrum calamitosum,White Butterfly Bush,1819,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1819
Clerodendrum chinense,Glory Bower,1820,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1820
Clerodendrum deflexum Wall.,Nodding Witch's Tongue,1821,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1821
Clerodendrum disparifolium Blume,Swaddling Flower,2813,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2813
Clerodendrum indicum (L.) Kuntze,Turks Turban,1822,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1822
Clerodendrum laevifolium Blume,Bridal Veil,1831,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1831
Clerodendrum laevifolium Blume (variegated),-,6708,https://www.nparks.gov.sg/florafaunaweb/flora/6/7/6708
Clerodendrum minahassae Teijsm. & Binn.,Tube Flower,3827,https://www.nparks.gov.sg/florafaunaweb/flora/3/8/3827
Clerodendrum paniculatum 'Alba',White Pagoda Flower,1827,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1827
Clerodendrum paniculatum L.,Pagoda Flower,1826,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1826
Clerodendrum quadriloculare,Quezonia,1828,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1828
Clerodendrum quadriloculare (Variegated),Variegated Star Burst,6753,https://www.nparks.gov.sg/florafaunaweb/flora/6/7/6753
Clerodendrum sp.,-,8453,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8453
Clerodendrum splendens,Glory Bower,3221,https://www.nparks.gov.sg/florafaunaweb/flora/3/2/3221
Clerodendrum thomsoniae,Bleeding-heart Vine,1370,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1370
Clerodendrum thomsoniae 'Variegatum',Variegated Bleeding Heart Vine,1371,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1371
Clerodendrum villosum Blume,绢毛大青,1830,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1830
Clerodendrum W.Bull × speciosum,Java Glory Vine,4989,https://www.nparks.gov.sg/florafaunaweb/flora/4/9/4989
Clinacanthus nutans (Burm. f.) Lindau,Sabah Snake Grass,5655,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5655
Clinopodium nepeta subsp. spruneri (Boiss.) Bartolucci & F.Conti,Lesser Calamint,5652,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5652
Clitoria fairchildiana R. A. Howard,Orchid Tree,2814,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2814
Clitoria laurifolia Poir.,Laurel-leaf,6206,https://www.nparks.gov.sg/florafaunaweb/flora/6/2/6206
Clitoria ternatea (Pale Blue),-,1374,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1374
Clitoria ternatea (Voigt) Fantz f. albiflora,White Butterfly Pea Vine,1375,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1375
Clitoria ternatea Fantz var. pleniflora,Double  Butterfly Pea,1373,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1373
Clitoria ternatea L.,Butterfly Pea,1372,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1372
Clivia miniata (Lindl.) Bosse,-,3832,https://www.nparks.gov.sg/florafaunaweb/flora/3/8/3832
Clusia rosea Jacq.,Autograph Tree,2815,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2815
Clusia rosea 'Variegata',Variegated Autograph Tree,2816,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2816
Cnidoscolus chayamansa McVaugh,Mayan Spinach Tree,4839,https://www.nparks.gov.sg/florafaunaweb/flora/4/8/4839
Cobaea scandens,Cup and Saucer Vine,7071,https://www.nparks.gov.sg/florafaunaweb/flora/7/0/7071
Coccinia grandis (L.) Voigt,Ivy Gourd,1377,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1377
Coccoloba rugosa,Red-flowered Sea Grape,4896,https://www.nparks.gov.sg/florafaunaweb/flora/4/8/4896
Coccoloba uvifera (L.) L.,Sea Grape,2817,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2817
Coccoloba uvifera (Variegated),-,5510,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5510
Coccothrinax crinita,Thatch Palm,2614,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2614
Coccothrinax miraguama (Kunth) Becc.,Miraguama Palm,5816,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5816
Cochlospermum religiosum (L.) Alston,Silk Cotton Tree,2818,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2818
Cochlospermum vitifolium (Willd.) Spreng.,-,3834,https://www.nparks.gov.sg/florafaunaweb/flora/3/8/3834
Cocos nucifera L.,Coconut,5618,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5618
Codiaeum 'Andrew',-,6161,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6161
Codiaeum 'Gold Dust',-,6170,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6170
Codiaeum 'Gold Star',-,6165,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6165
Codiaeum 'Ice Tone',-,6162,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6162
Codiaeum 'Mother and Daughter',Croton,6173,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6173
Codiaeum 'Pie Crust',-,6163,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6163
Codiaeum 'Red Ice Tone',-,6164,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6164
Codiaeum variegatum,Croton,1833,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1833
Codiaeum 'Yellow Leopard',-,6167,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6167
Codonanthe gracilis (Mart.) Hanst.,-,6107,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6107
Codonoboea platypus,-,8361,https://www.nparks.gov.sg/florafaunaweb/flora/8/3/8361
Coelogyne mayeriana Rchb.f.,-,4952,https://www.nparks.gov.sg/florafaunaweb/flora/4/9/4952
Coelogyne rochussenii de Vriese,-,5013,https://www.nparks.gov.sg/florafaunaweb/flora/5/0/5013
Coelogyne usitana Roeth & O. Gruss,-,6397,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6397
Coffea arabica L.,Coffee Tree,4860,https://www.nparks.gov.sg/florafaunaweb/flora/4/8/4860
Coffea canephora,Robusta Coffee,2819,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2819
Coffea liberica,Liberian Coffee,2820,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2820
Coix lacryma-jobi,Job's Tears,1834,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1834
Cojoba arborea (L.) Britton & Rose,Wild Tamarind,6301,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6301
Cola acuminata,Cola,6124,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6124
Cola gigantea A.Chev.,Giant Cola,2821,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2821
Cola nitida,Cola Nut,2822,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2822
Coleus amboinicus (variegated),-,4935,https://www.nparks.gov.sg/florafaunaweb/flora/4/9/4935
Coleus amboinicus Lour.,Indian Borage,3717,https://www.nparks.gov.sg/florafaunaweb/flora/3/7/3717
Coleus amboinicus 'Variegatus',Variegated Indian Borage,3718,https://www.nparks.gov.sg/florafaunaweb/flora/3/7/3718
Coleus australis 'Blue Spires',-,7847,https://www.nparks.gov.sg/florafaunaweb/flora/7/8/7847
Coleus bellus (P.I.Forst.) P.I.Forst.,Lemon Sherbet Coleus,6965,https://www.nparks.gov.sg/florafaunaweb/flora/6/9/6965
Coleus hadiensis (Forssk.) A.J.Paton,Vicks Plant,8791,https://www.nparks.gov.sg/florafaunaweb/flora/8/7/8791
Coleus madagascariensis 'Variegated Mintleaf',Variegated Mint Leaf,6659,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6659
Coleus monostachyus (P.Beauv.) A.J.Paton,Monkey's Potato,6202,https://www.nparks.gov.sg/florafaunaweb/flora/6/2/6202
Coleus prostratus (Gürke) A.J.Paton,Pillow Plant,6931,https://www.nparks.gov.sg/florafaunaweb/flora/6/9/6931
Coleus rotundifolius (Poir.) A.Chev. & Perrot,Chinese Potato,5781,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5781
Coleus scutellarioides (L.) Benth.,Painted Nettle,2460,https://www.nparks.gov.sg/florafaunaweb/flora/2/4/2460
Coleus scutellarioides × Perilla frutescens 'Gage's Shadow',Coleus x Perilla 'Gage's Shadow',6184,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6184
Coleus scutellarioides 'Alabama Sunset',Coleus,6954,https://www.nparks.gov.sg/florafaunaweb/flora/6/9/6954
Coleus scutellarioides 'Appaloosa',Coleus,6030,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6030
Coleus scutellarioides 'Carefree Mix',Coleus,6291,https://www.nparks.gov.sg/florafaunaweb/flora/6/2/6291
Coleus scutellarioides 'China Rose',Coleus,6955,https://www.nparks.gov.sg/florafaunaweb/flora/6/9/6955
Coleus scutellarioides 'Chocolate Drop',Coleus,6205,https://www.nparks.gov.sg/florafaunaweb/flora/6/2/6205
Coleus scutellarioides 'Defiance',Coleus,6026,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6026
Coleus scutellarioides 'Dipt In Wine',Coleus,5939,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5939
Coleus scutellarioides 'Finger Paint',Coleus,5938,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5938
Coleus scutellarioides 'Pineapple Queen',Coleus,6037,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6037
Coleus scutellarioides 'Saturn',Coleus,6039,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6039
Coleus scutellarioides 'Tilt A Whirl',Ruffled Coleus,5937,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5937
Coleus scutellarioides 'Versa Green Halo',Coleus,6292,https://www.nparks.gov.sg/florafaunaweb/flora/6/2/6292
Coleus scutellarioides 'Wizard',Coleus,6957,https://www.nparks.gov.sg/florafaunaweb/flora/6/9/6957
Colmanara Wildcat,-,4531,https://www.nparks.gov.sg/florafaunaweb/flora/4/5/4531
Colocasia esculenta (L.) Schott,Taro,1835,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1835
Colocasia esculenta 'Black Coral',-,5767,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5767
Colocasia esculenta 'Black Magic',-,1836,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1836
Colocasia esculenta 'Coal Miner',-,5768,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5768
Colocasia esculenta 'Coffee Cup',Elephant Ears,3678,https://www.nparks.gov.sg/florafaunaweb/flora/3/6/3678
Colocasia esculenta 'Elepaio',-,5773,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5773
Colocasia esculenta 'Illustris',-,3677,https://www.nparks.gov.sg/florafaunaweb/flora/3/6/3677
Colocasia esculenta 'Lemonade',-,5519,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5519
Colocasia esculenta 'Lime Aide',Lime Aide Elephant Ear,5520,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5520
Colocasia esculenta 'Mojito',Mojito Elephant Ear,5521,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5521
Colocasia esculenta 'Nancy's Revenge',-,5518,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5518
Colocasia esculenta 'Pharaohs Mask',-,8788,https://www.nparks.gov.sg/florafaunaweb/flora/8/7/8788
Colocasia esculenta 'Rhubarb',Rhubarb Elephant Ear,5522,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5522
Colocasia esculenta 'Tropical Storm',-,8789,https://www.nparks.gov.sg/florafaunaweb/flora/8/7/8789
Colocasia esculenta 'White Lava',-,8787,https://www.nparks.gov.sg/florafaunaweb/flora/8/7/8787
Colubrina asiatica (L.) Brongn,Latherleaf,3679,https://www.nparks.gov.sg/florafaunaweb/flora/3/6/3679
Columnea 'Little Prince',-,8347,https://www.nparks.gov.sg/florafaunaweb/flora/8/3/8347
Columnea tulae var. flava,-,1378,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1378
Colysis pteropus (Blume) Copel.,Java Fern,5736,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5736
Combretum comosum,-,1379,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1379
Combretum constrictum (Benth.) M.A.Lawson,Finger Lies on the Ground,1837,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1837
Combretum erythrophyllum,Bush Willow,1838,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1838
Combretum indicum (double-flowered),Double Rangoon Creeper,4630,https://www.nparks.gov.sg/florafaunaweb/flora/4/6/4630
Combretum indicum (L.) DeFilipps,Rangoon Creeper,1497,https://www.nparks.gov.sg/florafaunaweb/flora/1/4/1497
Combretum tetralophum C.B. Clarke,-,5835,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5835
Commelina diffusa Burm. f.,Spreading Dayflower,5133,https://www.nparks.gov.sg/florafaunaweb/flora/5/1/5133
Commersonia bartramia (L.) Merr.,Brown Kurrajong,4103,https://www.nparks.gov.sg/florafaunaweb/flora/4/1/4103
Congea tomentosa Roxb.,Wooly Congea,1380,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1380
