Scientific Name,Common Name,Species ID,Link,Plant Type,Light Preference,Water Preference,Drought Tolerant?,Native to SG?,Fruit Bearing?,Fragrant Plant?,Maximum Height,Flower Colour,Hazard,Attracted Animals,Native habitat,Mature Leaf Colour,Young Flush Leaf Colour,Leaf Area Index,Growth Rate,Trunk Texture,Trunk Colour,Leaf Texture
Clerodendrum calamitosum,White Butterfly Bush,1819,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1819,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,True,"Shrub, able to grow up to about 2.5 - 3 m tall.",White,-,Butterfly-Attracting,Terrestrial,Green,-,4.5 (Shrub & Groundcover - Dicot),-,None,None,"Leaves simple and opposite arrangement, elliptic to oblong in shape, serrated along margins, measuring about 3 - 15 cm long and 1.5 - 8 cm wide."
Clerodendrum chinense,Glory Bower,1820,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1820,Shrub,Full Sun,"Lots of Water, Moderate Water",False,False,False,False,"Perennial shrub, able to grow up to about 2.5 - 3 m tall.",White,-,Butterfly-Attracting,Terrestrial,Green,-,4.5 (Shrub & Groundcover - Dicot),-,None,None,"Leaves simple and opposite arrangement, broadly ovate in shape, measuring about 6 - 25 cm long and 5 - 25 cm wide."
Clerodendrum deflexum Wall.,Nodding Witch's Tongue,1821,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1821,Shrub,Semi Shade,Moderate Water,False,True,False,False,1 m,"White, Cream / Off-White",-,Bird-Attracting,"Terrestrial (Primary Rainforest, Mountain, Secondary Rainforest, Freshwater Swamp Forest)",Green,-,4.5 (Shrub & Groundcover - Dicot),-,None,None,"Its opposite, stalked leaves have membranous leaf blades that are usually elliptic to drop-shaped with a pointed tip, and 15–41 by 5-15 cm."
Clerodendrum disparifolium Blume,Swaddling Flower,2813,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2813,"Shrub, Tree","Full Sun, Semi Shade",Moderate Water,False,True,False,False,14 m,Yellow / Golden,-,"Butterfly Host Plant (Leaves), Bird-Attracting, Butterfly-Attracting","Terrestrial (Primary Rainforest, Secondary Rainforest)",Green,-,3.0 (Tree - Intermediate Canopy),Moderate,-,-,"Leaves are shiny green, generally broadly to narrowly elliptic, unequal size of 5-19 cm long and 2-8 cm wide. It has a pale coloured, smooth to velvety underside. Similarly, the grey-brown twigs carry similar texture of smooth to velvety."
Clerodendrum indicum (L.) Kuntze,Turks Turban,1822,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1822,Shrub,"Full Sun, Semi Shade",Lots of Water,False,False,False,False,1.8 m to 2.7 m,White,-,Butterfly-Attracting (Flower Nectar),-,Green,-,4.5 (Shrub & Groundcover - Dicot),-,None,None,"Elliptic leaves are whorled with 4 leaves per node and attached by short petioles (15 - 20 cm long, 5 - 8 cm wide).  Leaf margin is dentate (toothed)."
Clerodendrum laevifolium Blume,Bridal Veil,1831,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1831,Shrub,Semi Shade,Moderate Water,False,False,False,True,"Woody, evergreen perennial with a spreading or prostrate growth habit.",White,-,Butterfly-Attracting (Flower Nectar),-,Green,-,4.5 (Shrub & Groundcover - Dicot),-,None,None,"Glossy, green leaves are lanceolate to oblong with wavy leaf margin (10 - 23 cm long). Leaves are deeply veined and occur in pairs (opposite leaf arrangement)."
Clerodendrum laevifolium Blume (variegated),-,6708,https://www.nparks.gov.sg/florafaunaweb/flora/6/7/6708,Shrub,Full Sun,Moderate Water,False,False,False,False,-,White,-,-,Terrestrial,"Green, Yellow / Golden",-,-,Moderate,None,None,"Elongated, elliptic leaves are mostly dark green with yellow and green mottled blotches that are often located on only one side of the leaf."
Clerodendrum minahassae Teijsm. & Binn.,Tube Flower,3827,https://www.nparks.gov.sg/florafaunaweb/flora/3/8/3827,Shrub,Full Sun,Moderate Water,False,False,False,False,4.6 m,White,-,-,Terrestrial,Green,-,-,Moderate,None,None,"Dark green, glossy leaves are elongated and elliptical. Young leaves have an undulate leaf margin which straightens out to become entire at maturity. The leaf texture is wrinkled with the leaf blade bulging between veins."
Clerodendrum paniculatum 'Alba',White Pagoda Flower,1827,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1827,Shrub,Full Sun,"Lots of Water, Moderate Water",False,False,False,False,"Evergreen shrub, able to grow up to about 1 - 2 m tall and 2 - 3 m wide.",White,-,Butterfly-Attracting,Terrestrial,Green,-,4.5 (Shrub & Groundcover - Dicot),-,None,None,"Large and lobed leaves, opposite arrangement, measuring up to 30 cm wide."
Clerodendrum paniculatum L.,Pagoda Flower,1826,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1826,Shrub,Full Sun,Moderate Water,True,False,False,False,1 m to 1.5 m,Red,-,"Butterfly-Attracting (Flower Nectar), Bird-Attracting (Flowers)",Terrestrial,Green,-,4.5 (Shrub & Groundcover - Dicot),Fast,None,None,"Glossy, deep-veined leaves vary in shape from subcordate to orbicular to ovate (up to 30 cm wide) often having 3 - 5 lobes. They have an opposite arrangement. The leaves emit an unpleasant fragrance. Leaf blade has cordate base, apex acute, margin entire to minutely denticulate."
Clerodendrum quadriloculare,Quezonia,1828,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1828,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,"Small to medium-sized shrub, able to grow up to 2 - 5 m tall.","Pink, White",-,Butterfly-Attracting,Terrestrial,Green,-,4.5 (Shrub & Groundcover - Dicot),-,None,None,"Simple leaves, ovate to oblong in shape, green on the top and purple underneath, measuring about 5 - 10 cm long."
Clerodendrum quadriloculare (Variegated),Variegated Star Burst,6753,https://www.nparks.gov.sg/florafaunaweb/flora/6/7/6753,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,-,-,-,-,Terrestrial,-,-,-,-,None,None,"Leaves (15 to 38 cm long, 10 cm wide) have simple leaf blade with yellow and green pattern. Leaf arrangement is opposite. Leaf margin is entire and slightly wavy."
Clerodendrum sp.,-,8453,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8453,Shrub,"Full Sun, Semi Shade",Lots of Water,False,False,False,False,-,-,-,-,-,Green,-,-,-,None,None,-
Clerodendrum splendens,Glory Bower,3221,https://www.nparks.gov.sg/florafaunaweb/flora/3/2/3221,Climber,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,"Evergreen woody vine, able to grow to about 3 - 4 m long.",Red,-,Butterfly-Attracting,Terrestrial,Green,-,-,-,None,None,"Large dark green leaves, opposite arrangement, ovate to oblong, measuring up to about 18 cm long."
Clerodendrum thomsoniae,Bleeding-heart Vine,1370,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1370,"Climber, Shrub",Full Sun,Moderate Water,False,False,False,False,3 m to 3.5 m,"White, Red",-,-,Terrestrial,Green,Green,-,Fast to Moderate,None,None,"Smooth, dark green glossy leaves are elliptic with entire leaf margin, measuring up to 15 cm long and 7 cm wide. Leaves are deeply veined and have a long pointed tip (acuminate apex). Leaf base is obtuse or rounded. Leaves are arranged oppositely along the stem."
Clerodendrum thomsoniae 'Variegatum',Variegated Bleeding Heart Vine,1371,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1371,Climber,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,2.5 m to 3.5 m,"Red, White",-,-,-,"Green, Cream / Off-White",-,-,Moderate,None,None,"Herbaceous twining vine, up to 3.5m height with support. Stems square in cross-section. Leaves variegated, green with irregular cream-coloured margins, puckered appearance due to sunken abdaxial veins. Fairly free-blooming, flowers pendulous, bell-shaped, scarlet-red with contrasting white bracts, 4 stamens and 1 elongated style, produced in clusters like a chain of dangling hearts. Fruits not observed in Singapore.Suitable as well-behaved scrambling climber for trellises and as feature plant in hanging baskets. Can also be kept as scandent shrub. Grown for beautiful foliage and showy flowers. More demanding than species form with pure green leaves. Keep soil moist but well-draining. Propagate by stem cuttings."
Clerodendrum villosum Blume,绢毛大青,1830,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1830,"Shrub, Tree",Full Sun,Moderate Water,False,True,False,False,7.5 m,White,-,"Bird-Attracting, Butterfly-Attracting","Terrestrial (Primary Rainforest, Secondary Rainforest, Freshwater Swamp Forest, Grassland / Savannah/ Scrubland, Disturbed Area / Open Ground)","Green, Green - Light Green, Silver / Grey",-,4.5 (Shrub & Groundcover - Dicot),Moderate,-,-,"Its opposite, stalked leaves possess leaf blades that are light green, mostly heart-shaped, and 7–29 by 5–21 cm, with short tips."
Clerodendrum W.Bull × speciosum,Java Glory Vine,4989,https://www.nparks.gov.sg/florafaunaweb/flora/4/9/4989,Climber,"Full Sun, Semi Shade",Lots of Water,False,False,False,False,-,Red,-,Butterfly-Attracting,-,Green,-,-,-,None,None,-
Clinacanthus nutans (Burm. f.) Lindau,Sabah Snake Grass,5655,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5655,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,1 m to 3 m,"Red, Orange",-,-,Terrestrial (Grassland / Savannah/ Scrubland),Green,-,-,Moderate,None,None,"Its simple, opposite, stalked leaves are lanceolate-ovate, lanceolate to linear-lanceolate, 4-12 cm long by 1-4 cm wide."
Clinopodium nepeta subsp. spruneri (Boiss.) Bartolucci & F.Conti,Lesser Calamint,5652,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5652,Herbaceous Plant,Full Sun,Moderate Water,False,False,False,True,17 cm to 90 cm,"White, Purple, Pink",-,-,"Terrestrial (Grassland / Savannah/ Scrubland, Disturbed Area / Open Ground)",Green,-,-,-,None,None,Egg-shaped to round leaves occur in pairs along the stem. Crushed leaves have a mint- and lemon-like fragrance.
Clitoria fairchildiana R. A. Howard,Orchid Tree,2814,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2814,Tree,Full Sun,Moderate Water,False,False,False,True,8 m to 15 m,Purple,Weak Branches,-,-,Green,-,3.0 (Tree - Intermediate Canopy),Fast,"Cracked, Smooth",Greyish-white,None
Clitoria laurifolia Poir.,Laurel-leaf,6206,https://www.nparks.gov.sg/florafaunaweb/flora/6/2/6206,Shrub,Full Sun,Moderate Water,False,False,False,False,"A woody shrub, it can grow up to 0.8 to 1.0m in height. It has a erect to sub-erect growth habit.",Purple,-,-,Terrestrial,-,-,-,-,None,None,The leaves are pinnately trifoliate. The leaflets are ovate to ovate-oblong in shape and have a pubescent underside. The leaflets have 5 to 7 pairs of lateral veins. The leaf tip is rounded with a cuneate leaf base.
Clitoria ternatea (Pale Blue),-,1374,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1374,Climber,Full Sun,Moderate Water,False,False,False,False,"It is a slender, climbing legume with soft hairs on stems.","Blue, Purple",-,Butterfly Host Plant,Terrestrial,Green,Green,-,Moderate,None,None,"Leaves are compound pinnate, alternately arranged along the stem, with 5 - 7 elliptic to ovate leaflets, measuring 2.5 - 5 cm long and 1.5 - 3.5 cm wide. Each leaflet is thinly papery."
Clitoria ternatea (Voigt) Fantz f. albiflora,White Butterfly Pea Vine,1375,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1375,Climber,Full Sun,Moderate Water,False,False,False,False,1.2 m to 5 m,White,-,Butterfly Host Plant,Terrestrial,Green,Green,-,Fast,None,None,"Its stalked, alternately-arranged leaves are pinnate with 5-7 elliptic or ovate leaflets. Each leaflet is thinly papery, and measuring 2.5-5 cm long and 1.5-3.5 cm wide."
Clitoria ternatea Fantz var. pleniflora,Double  Butterfly Pea,1373,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1373,"Climber, Herbaceous Plant",Full Sun,Moderate Water,False,False,False,False,2 m to 5 m,Blue,-,Butterfly Host Plant,Terrestrial,Green,Green,-,Fast,None,None,"Leaves are compound pinnate, alternately arranged along the stem, with 5 - 7 elliptic to ovate leaflets, measuring 2.5 - 5 cm long and 1.5 - 3.5 cm wide. Each leaflet is thinly papery."
Clitoria ternatea L.,Butterfly Pea,1372,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1372,Climber,Full Sun,Moderate Water,False,False,False,False,"It is a slender climbing legume with short, soft hairs on the stem. It has deep roots and ornamental flowers.","Purple, Blue",-,Bee-Attracting,Terrestrial (Disturbed Area / Open Ground),Green,-,-,Fast,None,None,"Its stalked, alternately-arranged leaves are pinnate with 5-7 elliptic or ovate leaflets, 2.5-5 cm long. Each leaflet is thinly papery or membranous, and measuring 2.5-5 cm long and 1.5-3.5 cm wide."
Clivia miniata (Lindl.) Bosse,-,3832,https://www.nparks.gov.sg/florafaunaweb/flora/3/8/3832,Herbaceous Plant,Semi Shade,Moderate Water,False,False,False,False,"A herbaceous perennial, it has an upright, clumping growth form and a swollen bulb-like base.","Cream / Off-White, Orange, Yellow / Golden",-,-,Terrestrial,Green,-,-,-,None,None,The leaves are alternately arranged and are strap-shaped.
Clusia rosea Jacq.,Autograph Tree,2815,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2815,Tree,Full Sun,Moderate Water,False,False,False,False,30 m,"White, Pink","Toxic Upon Ingestion, Irritant - Sap",Bird-Attracting,Terrestrial,Green,-,3.0 (Tree - Intermediate Canopy),Moderate,-,-,None
Clusia rosea 'Variegata',Variegated Autograph Tree,2816,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2816,Tree,Full Sun,Moderate Water,False,False,False,False,30 m,"Pink, White",Toxic Upon Ingestion,Bird-Attracting (Fruits),-,"Cream / Off-White, Green, Yellow / Golden",-,3.0 (Tree - Intermediate Canopy),Moderate,-,-,None
Cnidoscolus chayamansa McVaugh,Mayan Spinach Tree,4839,https://www.nparks.gov.sg/florafaunaweb/flora/4/8/4839,Shrub,Full Sun,Moderate Water,False,False,True,False,"Shrub to small tree, able to grow up to about 3 m tall.",White,Irritant - Sap,-,Terrestrial,Green,-,-,-,None,None,"Leaves green, palmately 3 - 5 lobed, measuring up to 15 cm long."
Cobaea scandens,Cup and Saucer Vine,7071,https://www.nparks.gov.sg/florafaunaweb/flora/7/0/7071,Climber,Full Sun,"Lots of Water, Occasional Misting",False,False,False,False,Vigorous perennial climber,"Green - Light Green, Purple",-,-,Terrestrial,Green,-,-,Fast,None,None,-
Coccinia grandis (L.) Voigt,Ivy Gourd,1377,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1377,Climber,Full Sun,Little Water,False,False,True,False,"A perennial, dioecious vine that can grow up to a length of 20 m.",White,-,Bee-Attracting,-,Green,-,-,Fast,None,None,"Leaves are green. Shape can be broadly ovate, subpentagonal to orbicular in shape and may lightly or palmately lobed."
Coccoloba rugosa,Red-flowered Sea Grape,4896,https://www.nparks.gov.sg/florafaunaweb/flora/4/8/4896,Tree,Full Sun,Moderate Water,False,False,False,False,"Small evergreen tree with a skinny trunk, able to grow up to 10 m tall.",Red,-,Butterfly-Attracting,Terrestrial,Green,-,-,Moderate,-,-,None
Coccoloba uvifera (L.) L.,Sea Grape,2817,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2817,Tree,Full Sun,Moderate Water,False,False,True,False,15 m,"Small, white flowers are arranged in spike inflorescences that are 15 - 25 cm long.",-,Bird-Attracting,-,Green,-,3.0 (Tree - Intermediate Canopy),Moderate,Trunk is typically short or indistinct.,Trunk is typically short or indistinct.,None
Coccoloba uvifera (Variegated),-,5510,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5510,Tree,Full Sun,Moderate Water,False,False,False,False,It is a large shrub to small tree.,-,-,-,-,-,-,-,Moderate,-,-,None
Coccothrinax crinita,Thatch Palm,2614,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2614,Palm,Full Sun,Moderate Water,False,False,False,False,6 m,Yellow / Golden,-,-,Terrestrial (Grassland / Savannah/ Scrubland),Green,-,2.5 (Palm - Solitary),Slow,-,-,None
Coccothrinax miraguama (Kunth) Becc.,Miraguama Palm,5816,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5816,Palm,"Full Sun, Semi Shade",Moderate Water,True,False,False,False,5 m,Cream / Off-White,-,-,"Terrestrial (Coastal Forest, Grassland / Savannah/ Scrubland)",-,-,-,Moderate,Trunk is covered by triangular leaf bases and interwoven leaf fibers that look like burlap.,Trunk is covered by triangular leaf bases and interwoven leaf fibers that look like burlap.,None
Cochlospermum religiosum (L.) Alston,Silk Cotton Tree,2818,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2818,Tree,Full Sun,Moderate Water,False,False,False,True,7.5 m,Yellow / Golden,-,Bat Food,Terrestrial,Green,-,2.5 (Tree - Open Canopy),Moderate,"Bark is deeply furrowed and grey, exudes gum when injured.","Bark is deeply furrowed and grey, exudes gum when injured.",None
Cochlospermum vitifolium (Willd.) Spreng.,-,3834,https://www.nparks.gov.sg/florafaunaweb/flora/3/8/3834,Tree,Full Sun,Moderate Water,False,False,False,False,-,-,-,-,Terrestrial,-,-,-,Moderate,-,-,None
Cocos nucifera L.,Coconut,5618,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5618,Palm,Full Sun,Moderate Water,False,False,True,False,30 m,"Cream / Off-White, Yellow / Golden",-,Butterfly Host Plant,-,Green,-,2.5 (Palm - Solitary),Fast to Moderate,"Stem tall, slender, grey, prominently ringed with old leaf scars (when the leaf die off, it will fall off cleanly from the trunk, leaving a neat rectangular pattern of circular scars).","Stem tall, slender, grey, prominently ringed with old leaf scars (when the leaf die off, it will fall off cleanly from the trunk, leaving a neat rectangular pattern of circular scars).",None
Codiaeum 'Andrew',-,6161,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6161,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,Shrub to 2m tall,-,"Toxic Upon Ingestion, Irritant - Sap",-,-,"Cream / Off-White, Green, Yellow / Golden",Cream / Off-White,-,-,None,None,"Leaves to 15cm long by 4cm wide,, dull greyish green with dull pale yellow -  cream markings"
Codiaeum 'Gold Dust',-,6170,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6170,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,Shrub to 2m tall,-,"Toxic Upon Ingestion, Irritant - Sap",-,-,"Green, Yellow / Golden",Cream / Off-White,-,-,None,None,"Leaves elliptical - obovate,  10-12cm long by 3-3.5cm wide, margins dark green with bright yellow spots."
Codiaeum 'Gold Star',-,6165,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6165,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,Shrub to 2m tall,-,"Toxic Upon Ingestion, Irritant - Sap",-,-,"Green, Yellow / Golden",Cream / Off-White,-,-,None,None,"Leaves oblong, to 15cm long by 1.5-2cm wide, dark green, densely spotted with yellow."
Codiaeum 'Ice Tone',-,6162,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6162,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,Shrub to 2m tall,-,"Toxic Upon Ingestion, Irritant - Sap",-,-,"Green, Yellow / Golden",Cream / Off-White,-,-,None,None,"Leaves elliptic, to 20 cm long by 6cm wide. Color of leaves variable; leaves entirely mid green, or with pale yellow markings, towards basal 1/3 of the leaf or covering up to half of, or almost the entire leaf."
Codiaeum 'Mother and Daughter',Croton,6173,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6173,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,Shrub to 2m tall,-,"Toxic Upon Ingestion, Irritant - Sap",-,-,"Green, Purple",Cream / Off-White,-,-,None,None,"Leaves 8-15cm long by 1-2cm wide, mid - dark green, purplish green or with red and yellow streaks and spots, oblong to linear. Mid rib of leaf extending beyond leaf apex, forming a second 'leaflet' at the apical 1/3 of the length of the entire leaf."
Codiaeum 'Pie Crust',-,6163,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6163,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,Shrub to 2m tall,-,"Toxic Upon Ingestion, Irritant - Sap",-,-,"Green, Purple, Red",Cream / Off-White,-,-,None,None,"Leaves, to 20 cm long by 3cm wide. Color of leaves variable; base color purplish red or purplish green with pale  to bright red spots or markings; juvenile leaves in some specimens dark green."
Codiaeum 'Red Ice Tone',-,6164,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6164,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,Shrub to 2m tall,-,"Toxic Upon Ingestion, Irritant - Sap",-,-,"Green, Purple, Red, Yellow / Golden",Cream / Off-White,-,-,None,None,"Foliage: Leaves elliptic, to 20 cm long by 6cm wide. Color of leaves variable; leaves entirely light to mid green, or with pale yellow markings flushed with red or puurplish red, towards basal 1/3 of the leaf or covering up to half of, or almost the entire leaf."
Codiaeum variegatum,Croton,1833,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1833,Shrub,Full Sun,Moderate Water,False,False,False,False,3 m,"Inflorescences star-shaped, inconspicuous, on 8 to 30 cm long arching racemes, with male and female flowers on separate inflorescences; Male flowers white, pedicels delicate, petals 5, stamens 20 to 30; Female flowers yellow, pedicels slightly thickened, petals absent, sepals ovate-triangular, styles recurved.","Irritant - Sap, Staining Sap, Toxic Upon Ingestion",-,Terrestrial,"Green, Yellow / Golden, Red, Orange",-,4.5 (Shrub & Groundcover - Dicot),-,None,None,"Leaves simple, alternate, 5 to 30 cm long and 0.5 to 8 cm wide, leathery; leaf form is highly diversed in shapes and colours, depending on the cultivar; shapes ranging from linear, linear-lanceolate, oblong, elliptic, lanceolate, ovate, spatulate, fiddle-shaped to obovate, sometimes segregated to midvein into upper and lower parts; colours ranging from green, chartreuse, yellow, burgundy, purple-red, to pink, sometimes speckled with coloured spots or stripes of spots; petiole 0.2 to 2.5cm long."
Codiaeum 'Yellow Leopard',-,6167,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6167,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,Shrub to 2m tall,-,"Toxic Upon Ingestion, Irritant - Sap",-,-,"Green, Yellow / Golden",Cream / Off-White,-,-,None,None,"Leaves 10-12cm ong by 3-3.5cm wide, usually 3-lobed; light - dark green, densely spotted with yellow."
Codonanthe gracilis (Mart.) Hanst.,-,6107,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6107,Climber,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,Trailing woody herb with stems to 2m in length,"Brown, Red, White, Yellow / Golden, Patterned",-,Bird-Attracting,Terrestrial,"Green, Green - Light Green",-,-,Moderate,None,None,"Leaves dark green, ovate,  1.5-3 cm long by 1-2 cm wide, upper surface dark green, under surface light green."
Codonoboea platypus,-,8361,https://www.nparks.gov.sg/florafaunaweb/flora/8/3/8361,Herbaceous Plant,Semi Shade,Moderate Water,False,True,False,False,"Erect and unbranched herb up to 40-100cm tall, rosette form.","Flower, trumpet-shaped, white with tinge of purple, rarely pure white. Tube shows a deeper purple than the lobes. Produced in solitary from the axillary.",-,-,-,Green,Green,-,-,None,None,"Leaves, 26-40cm by 7-9cm long, sessile, Upper surface covered in stiff hairs, margin coarsely serrate. Tertiary venation forms a pattern of polygons. Leaves tend to crowd near the tip of the stem."
Coelogyne mayeriana Rchb.f.,-,4952,https://www.nparks.gov.sg/florafaunaweb/flora/4/9/4952,Epiphyte,Semi Shade,Moderate Water,False,True,False,False,"A sympodial epiphyte, it has a creeping growth habit and can grow up to 40cm tall.","Green, Black",-,-,Terrestrial,-,-,-,-,None,None,"The leaves are borne on pseudobulbs in pairs. The leaves are plicate, the leaf base narrowing down into a grooved petiolate base. The pseudobulbs are pear-shaped and green."
Coelogyne rochussenii de Vriese,-,5013,https://www.nparks.gov.sg/florafaunaweb/flora/5/0/5013,Epiphyte,Semi Shade,Moderate Water,False,True,False,True,"Sympodial orchid that forms large clumps, it can grow up to 60cm in length.","Brown, White, Yellow / Golden",-,-,Terrestrial,-,-,-,-,None,None,"Green, pleated leaves are oval-shaped with smooth leaf edges and are arranged in pairs on each pseudobulb. The pseudobulb is narrowly conical and ribbed."
Coelogyne usitana Roeth & O. Gruss,-,6397,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6397,Epiphyte,Semi Shade,Moderate Water,False,False,False,False,"An epiphytic sympodial orchid, it has a clumping
growth form.","Brown, Cream / Off-White",-,-,Terrestrial,-,-,-,-,None,None,"The pseudobulbs can grow up to 11cm in length, bearing
a single, pleated leaf about 45cm in length."
Coffea arabica L.,Coffee Tree,4860,https://www.nparks.gov.sg/florafaunaweb/flora/4/8/4860,Tree,Semi Shade,Moderate Water,False,False,False,True,2 m to 8 m,White,-,Bird-Attracting,Terrestrial (Mountain),Green,-,-,Moderate,-,-,None
Coffea canephora,Robusta Coffee,2819,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2819,Tree,Semi Shade,Moderate Water,False,False,False,True,Small tree up to 12 m tall.,White,-,-,-,Green,-,3.0 (Tree - Intermediate Canopy),Moderate,-,-,None
Coffea liberica,Liberian Coffee,2820,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2820,Tree,Semi Shade,Moderate Water,False,False,False,True,18 m,White,-,-,Terrestrial,Green,-,3.0 (Tree - Intermediate Canopy),Moderate,-,-,None
Coix lacryma-jobi,Job's Tears,1834,https://www.nparks.gov.sg/florafaunaweb/flora/1/8/1834,Shrub,Full Sun,Lots of Water,False,False,False,False,0.9 m to 1.8 m,"Monoecious; the hollow, bead-like structure is known as an involucre. It houses 3 female flowers : one fertile flower and two sterile flowers. The fertile female flower produces 2 purple, feathery stigmas that emerge out of the hole at the apex. The male inflorescence occurs on a thin stalk that also emerges from the hole at the apex of the involucre. The male inflorescence resembles a head of wheat. It has green, herbaceous bracts that partially cover the male flowers.",-,-,-,Green,-,3.5 (Shrub & Groundcover - Monocot),-,None,None,"Leaves are linear or lanceolate with an entire leaf margin and a pointed apex (1.5 - 4 cm wide, 20 - 50 cm long). This species is a monocotyledon, so it lacks petioles, but has leaf sheaths and parallel venation."
Cojoba arborea (L.) Britton & Rose,Wild Tamarind,6301,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6301,Tree,Full Sun,Moderate Water,False,False,False,False,40 m,"Green - Light Green, White",-,Bird-Attracting (Seeds),Terrestrial,Green,-,-,Moderate,-,-,None
Cola acuminata,Cola,6124,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6124,Tree,Full Sun,Moderate Water,False,False,False,False,-,-,-,-,Terrestrial,-,-,-,Moderate,-,-,None
Cola gigantea A.Chev.,Giant Cola,2821,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2821,Tree,Full Sun,Moderate Water,False,False,False,False,35 m,Purple,-,-,Terrestrial,Green,-,3.0 (Tree - Intermediate Canopy),Moderate,"Bark is brown or grey and fissured, girth size can reach up to 1.5 m wide, has small and short buttresses.","Bark is brown or grey and fissured, girth size can reach up to 1.5 m wide, has small and short buttresses.",None
Cola nitida,Cola Nut,2822,https://www.nparks.gov.sg/florafaunaweb/flora/2/8/2822,Tree,Full Sun,Moderate Water,False,False,False,False,20 m to 25 m,White,-,-,-,Green,-,4.0 (Tree - Dense Canopy),Moderate,-,-,None
Coleus amboinicus (variegated),-,4935,https://www.nparks.gov.sg/florafaunaweb/flora/4/9/4935,Herbaceous Plant,Semi Shade,Moderate Water,False,False,False,True,0.4 m,-,-,-,Terrestrial,"Green, Green - Light Green, Patterned",-,-,Fast,None,None,"Fleshy, curled leaves are ovate to triangular (2.5 – 3 cm long, 2.5 – 3 cm wide). The middle of the leaf is yellow-green, while the margins and major veins are darker shades of green. Both sides of the leaf are densely covered in soft, white hairs."
